onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.015	1.805	no_response	n/a	1.0	n/a	r	TL
5.82	2.006	1-back	1.0	1.0	0.483	r	TR
7.826	2.006	1-back	0.0	1.0	0.617	g	BR
9.832	2.006	1-back	1.0	1.0	0.788	g	TL
11.838	2.006	1-back	0.0	1.0	0.661	f	TR
13.844	2.006	1-back	0.0	1.0	0.878	t	BL
15.85	2.006	1-back	0.0	1.0	0.627	v	TL
17.856	2.006	1-back	0.0	1.0	0.817	p	TR
19.862	2.006	1-back	1.0	1.0	0.705	p	BL
21.868	2.006	1-back	0.0	1.0	0.498	z	BR
23.874	2.006	1-back	0.0	1.0	0.528	s	TR
25.88	2.006	1-back	1.0	1.0	0.488	s	BL
27.886	2.006	1-back	0.0	1.0	0.503	c	TL
29.892	2.006	1-back	1.0	1.0	0.646	c	BR
31.898	2.006	1-back	0.0	1.0	0.661	l	BR
33.904	2.006	1-back	0.0	1.0	0.637	n	BL
35.91	2.006	1-back	0.0	0.0	0.516	v	TL
37.916	2.006	1-back	1.0	1.0	0.362	v	TR
39.922	2.006	1-back	0.0	1.0	0.38	z	BR
41.928	2.006	1-back	0.0	1.0	0.319	s	TL
43.934	2.006	1-back	0.0	1.0	0.575	x	TR
45.94	2.006	1-back	1.0	1.0	0.504	x	BL
47.946	2.006	1-back	1.0	1.0	0.567	x	BR
49.952	2.006	1-back	0.0	1.0	0.5	v	TR
51.958	2.006	1-back	0.0	1.0	0.631	z	TL
53.964	2.006	1-back	1.0	1.0	0.577	z	BR
55.97	2.006	1-back	0.0	1.0	0.579	f	BL
57.976	2.006	1-back	0.0	1.0	0.777	r	TR
59.982	2.006	1-back	1.0	1.0	0.618	r	BL
61.988	2.006	1-back	0.0	1.0	0.555	n	TL
63.994	2.006	1-back	0.0	1.0	0.576	l	BL
66.0	2.006	1-back	1.0	1.0	0.713	l	BR
68.006	2.006	1-back	0.0	1.0	0.918	s	TL
70.012	2.006	1-back	0.0	1.0	0.594	g	TR
72.018	2.007	1-back	0.0	1.0	0.613	c	BL
74.025	2.005	1-back	1.0	1.0	0.561	c	TR
76.03	2.006	1-back	0.0	1.0	0.499	f	BR
78.036	2.006	1-back	1.0	1.0	0.644	f	TL
80.042	2.006	1-back	0.0	1.0	0.634	t	TR
82.048	2.006	1-back	0.0	1.0	0.639	x	BL
84.054	2.007	1-back	0.0	1.0	0.684	p	TL
86.061	2.006	1-back	1.0	1.0	0.573	p	BL
88.067	2.006	1-back	0.0	1.0	0.497	n	BR
90.073	2.006	1-back	1.0	1.0	0.59	n	TL
92.079	2.006	1-back	0.0	1.0	0.508	g	BR
94.085	2.006	1-back	0.0	1.0	0.595	l	BL
96.091	2.006	1-back	0.0	1.0	0.563	t	TR
98.097	6.02	1-back	1.0	1.0	0.579	t	BR
104.117	2.022	baseline	1.0	1.0	0.299	redcross.bmp	n/a
106.139	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
108.162	2.023	baseline	1.0	1.0	0.312	redcross.bmp	n/a
110.185	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
112.208	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.23	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.253	2.023	baseline	1.0	1.0	0.458	redcross.bmp	n/a
118.276	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.298	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.321	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.344	2.023	baseline	1.0	1.0	0.384	redcross.bmp	n/a
126.367	6.032	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.399	1.806	no_response	n/a	1.0	n/a	v	TR
134.205	1.805	no_response	n/a	1.0	n/a	r	BR
136.01	2.006	2-back	1.0	1.0	0.661	v	TL
138.016	2.006	2-back	0.0	1.0	0.571	g	TR
140.022	2.006	2-back	0.0	1.0	0.688	p	BL
142.028	2.006	2-back	1.0	1.0	0.686	g	BR
144.034	2.006	2-back	0.0	1.0	0.752	n	TL
146.04	2.006	2-back	0.0	1.0	0.761	x	TR
148.046	2.006	2-back	0.0	1.0	0.704	l	BR
150.052	2.006	2-back	0.0	1.0	0.917	c	TL
152.058	2.006	2-back	1.0	1.0	0.78	l	BL
154.064	2.006	2-back	1.0	1.0	0.688	c	TR
156.07	2.006	2-back	0.0	1.0	0.514	t	BR
158.076	2.006	2-back	0.0	1.0	0.797	n	TL
160.082	2.006	2-back	1.0	1.0	0.653	t	BR
162.088	2.006	2-back	0.0	1.0	0.93	f	TR
164.094	2.006	2-back	0.0	1.0	0.9	n	BR
166.1	2.006	2-back	0.0	1.0	0.814	x	TL
168.106	2.006	2-back	1.0	1.0	0.719	n	BL
170.112	2.006	2-back	0.0	1.0	0.579	r	TR
172.118	2.006	2-back	0.0	1.0	0.781	f	TL
174.124	2.006	2-back	1.0	1.0	0.701	r	BR
176.13	2.006	2-back	0.0	1.0	0.654	s	TR
178.136	2.006	2-back	0.0	1.0	0.808	v	BL
180.142	2.006	2-back	0.0	0.0	0.711	p	TL
182.148	2.006	2-back	1.0	0.0	n/a	v	TR
184.154	2.007	2-back	0.0	1.0	0.698	s	BL
186.161	2.006	2-back	0.0	1.0	1.004	p	BR
188.167	2.006	2-back	1.0	1.0	0.741	s	TR
190.173	2.006	2-back	0.0	1.0	0.64	g	BL
192.179	2.006	2-back	0.0	1.0	0.84	z	TL
194.185	2.006	2-back	0.0	1.0	0.819	r	BR
196.191	2.006	2-back	1.0	0.0	0.871	z	BL
198.197	2.006	2-back	0.0	1.0	0.642	c	BL
200.203	2.006	2-back	0.0	1.0	0.686	t	BR
202.209	2.006	2-back	1.0	1.0	0.732	c	TL
204.215	2.006	2-back	1.0	1.0	0.7	t	BL
206.221	2.006	2-back	0.0	1.0	0.521	s	BR
208.227	2.006	2-back	0.0	1.0	0.592	x	BL
210.233	2.006	2-back	0.0	1.0	0.663	f	TR
212.239	2.006	2-back	1.0	0.0	0.771	x	TR
214.245	2.006	2-back	1.0	1.0	0.695	f	BR
216.251	2.006	2-back	0.0	1.0	0.769	l	TL
218.257	2.006	2-back	0.0	1.0	0.846	p	BL
220.263	2.006	2-back	1.0	1.0	0.782	l	BL
222.269	2.006	2-back	0.0	1.0	0.817	z	TL
224.275	2.006	2-back	0.0	1.0	0.805	g	TL
226.281	6.02	2-back	1.0	1.0	0.626	z	TR
232.301	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
234.324	2.022	baseline	1.0	1.0	0.428	redcross.bmp	n/a
236.346	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
238.369	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
240.392	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
242.414	2.023	baseline	1.0	1.0	0.496	redcross.bmp	n/a
244.437	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
246.46	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
248.483	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
250.505	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
252.528	2.023	baseline	1.0	1.0	0.442	redcross.bmp	n/a
254.551	2.0	baseline	1.0	1.0	0.579	redcross.bmp	n/a
